Source,Target,Type,Industry
451907357,informasjonssikkerhet,Undirected,IT
451907357,kunstig intelligens,Undirected,IT
451907357,kvalitetssikring av data,Undirected,IT
451907357,maskinlæring,Undirected,IT
451907357,prototype,Undirected,IT
451602665,analysere data,Undirected,Annet
451602665,customer relationship management (crm),Undirected,Annet
451602665,forretningsutvikling,Undirected,Annet
451602665,kontinuerlig forbedringsprosess (cip),Undirected,Annet
451602665,prosjekteringsledelse,Undirected,Annet
451602665,support / brukerstøtte,Undirected,Annet
451620651,prosessanalyse,Undirected,Helse og omsorg
451611537,dataprogrammering,Undirected,IT - maskinvare
451611537,ingeniørarbeid,Undirected,IT - maskinvare
451611537,kunnskap om teknologi,Undirected,IT - maskinvare
450430257,datadrevet markedsføring,Undirected,Annet
450430257,general data protection regulation (gdpr),Undirected,Annet
450430257,segmentere,Undirected,Annet
450293124,docker,Undirected,Forskning
450293124,maskinlæring,Undirected,Forskning
450293124,python (dataprogrammering),Undirected,Forskning
449676260,lage benchmarks,Undirected,Industri og produksjon
449676260,operational excellence,Undirected,Industri og produksjon
449676260,six sigma-metoder,Undirected,Industri og produksjon
449672760,ingeniørarbeid,Undirected,Forsvar og militær
449672760,internet of things,Undirected,Forsvar og militær
449672760,lage benchmarks,Undirected,Forsvar og militær
449672760,operational excellence,Undirected,Forsvar og militær
449672760,six sigma-metoder,Undirected,Forsvar og militær
449624777,automatisering,Undirected,Eiendom
449624777,database,Undirected,Eiendom
449624777,datavitenskap,Undirected,Eiendom
449624777,kunstig intelligens,Undirected,Eiendom
449624777,maskinlæring,Undirected,Eiendom
449624777,moderne software-utvikling,Undirected,Eiendom
449624777,sql,Undirected,Eiendom
449317369,algoritmer,Undirected,Forskning
449317369,c++ (programming language),Undirected,Forskning
449317369,maskinlæringsmetoder,Undirected,Forskning
449317369,modellering og simulering,Undirected,Forskning
449317369,python (dataprogrammering),Undirected,Forskning
449208259,backend webutvikling,Undirected,Annet
449208259,database,Undirected,Annet
449208259,kunstig intelligens,Undirected,Annet
449208259,maskinlæring,Undirected,Annet
449208259,nosql,Undirected,Annet
449208259,python (dataprogrammering),Undirected,Annet
449208259,pytorch,Undirected,Annet
449208259,tensorflow,Undirected,Annet
455205741,administrere data,Undirected,Bygg og anlegg
455205741,microsoft excel,Undirected,Bygg og anlegg
454941356,kunstig intelligens,Undirected,Industri og produksjon
454941356,regulatory compliance,Undirected,Industri og produksjon
454936072,behersker it-/datasystemer,Undirected,Industri og produksjon
454936072,ingeniørarbeid,Undirected,Industri og produksjon
454925447,erp-systemer,Undirected,Internettbaserte tjenester
454925447,finansiell planlegging og analyse,Undirected,Internettbaserte tjenester
454925447,finansiell rapportering,Undirected,Internettbaserte tjenester
454925447,internkontroll,Undirected,Internettbaserte tjenester
454925447,prognoser,Undirected,Internettbaserte tjenester
454925447,programvare som tjeneste,Undirected,Internettbaserte tjenester
454582307,account management,Undirected,Farmasi og legemiddel
454582307,norsk,Undirected,Farmasi og legemiddel
454086939,css (cascading style sheets),Undirected,IT - programvare
454086939,typescript,Undirected,IT - programvare
454072503,c# (programmeringsspråk),Undirected,IT - programvare
454072503,go,Undirected,IT - programvare
454072503,rest (api),Undirected,IT - programvare
454072503,sql,Undirected,IT - programvare
453408385,bokføring,Undirected,Kraft og energi
453408385,finansiell revisjon,Undirected,Kraft og energi
453408385,internkontroll,Undirected,Kraft og energi
453408385,internprising,Undirected,Kraft og energi
453408385,konsolidert finansregnskap,Undirected,Kraft og energi
452394981,bruke verktøy,Undirected,Annet
452394981,figma,Undirected,Annet
452348521,css (cascading style sheets),Undirected,Bank
452348521,javascript,Undirected,Bank
452348521,react.js,Undirected,Bank
452348521,typescript,Undirected,Bank
451807679,account management,Undirected,Transport og logistikk
451807679,digital commerce,Undirected,Transport og logistikk
451807679,forretningsutvikling,Undirected,Transport og logistikk
451807679,norsk,Undirected,Transport og logistikk
451807679,opprettholde dataintegritet,Undirected,Transport og logistikk
450455377,informatikk,Undirected,IT
450455377,konsekvensanalyse,Undirected,IT
450432230,go,Undirected,Internettbaserte tjenester
450432230,kjennskap til skyplattformer,Undirected,Internettbaserte tjenester
450432230,linux,Undirected,Internettbaserte tjenester
450432230,python (dataprogrammering),Undirected,Internettbaserte tjenester
